Item,"All
consumer
units","Less
than
$15,000","$15,000
to
$29,999","$30,000
to
$39,999","$40,000
to
$49,999","$50,000
to
$69,999","$70,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000
and
more"
SE,146.09,202.33,207.33,299.44,371.17,430.02,360.04,557.35,779.98,"1,190.03"
CV(%),3.60,17.21,10.55,9.67,14.38,10.20,8.33,8.71,10.12,10.61
"Cars and trucks, new",,,,,,,,,,
Mean,"1,900",524,804,"1,513",878,"1,603","1,770","3,184","4,727","6,126"
Share,3.2,2.1,2.4,3.6,1.9,3.0,2.7,3.7,4.1,3.8
SE,109.72,158.97,172.86,274.20,264.42,302.05,320.24,407.49,718.98,986.31
CV(%),5.78,30.34,21.50,18.12,30.12,18.84,18.09,12.80,15.21,16.10
"Cars and trucks, used",,,,,,,,,,
Mean,"2,101",638,"1,148","1,521","1,694","2,575","2,460","3,103","2,890","5,007"
Share,3.5,2.6,3.4,3.7,3.7,4.7,3.7,3.6,2.5,3.1
SE,112.42,129.31,116.91,215.50,267.36,274.09,221.45,381.21,448.58,695.23
CV(%),5.35,20.25,10.19,14.17,15.78,10.64,9.00,12.29,15.52,13.89
Other vehicles,,,,,,,,,,
Mean,53,13,14,63,8,39,92,110,90,79
Share,.1,.1,a/,.2,a/,.1,.1,.1,.1,a/
SE,9.62,13.10,14.52,33.88,6.30,21.75,38.86,35.81,66.71,75.76
CV(%),18.09,98.71,101.21,53.59,77.27,55.11,42.23,32.69,73.95,95.93
"Gasoline, other fuels, and motor oil",,,,,,,,,,
Mean,"1,968",864,"1,218","1,652","1,818","2,045","2,488","2,833","2,974","3,155"
Share,3.3,3.5,3.7,4.0,3.9,3.8,3.8,3.3,2.6,2.0
SE,25.67,29.94,36.67,40.87,43.98,44.70,52.59,60.51,73.41,102.45
CV(%),1.30,3.46,3.01,2.47,2.42,2.19,2.11,2.14,2.47,3.25
Other vehicle expenses,,,,,,,,,,
Mean,"2,842","1,110","1,462","2,075","2,703","2,740","3,259","3,807","6,393","6,052"
Share,4.7,4.5,4.4,5.0,5.8,5.1,4.9,4.4,5.5,3.8
SE,90.56,94.58,101.97,183.00,220.92,118.27,144.59,176.25,"1,551.96",375.55
CV(%),3.19,8.52,6.98,8.82,8.17,4.32,4.44,4.63,24.28,6.21
Vehicle finance charges,,,,,,,,,,
Mean,220,67,87,141,170,215,282,392,461,438
Share,.4,.3,.3,.3,.4,.4,.4,.5,.4,.3
SE,5.64,11.05,6.04,8.09,12.53,9.56,12.19,17.73,32.63,29.66
CV(%),2.56,16.62,6.97,5.75,7.38,4.44,4.32,4.53,7.08,6.77
Maintenance and repairs,,,,,,,,,,
Mean,954,331,485,620,743,875,990,"1,289","3,088","2,095"
Share,1.6,1.3,1.5,1.5,1.6,1.6,1.5,1.5,2.7,1.3
SE,82.24,28.11,29.89,34.75,42.19,39.77,44.63,52.86,"1,556.82",138.00
CV(%),8.62,8.48,6.16,5.61,5.68,4.54,4.51,4.10,50.42,6.59
Vehicle insurance,,,,,,,,,,
Mean,967,493,556,807,"1,265","1,014","1,216","1,064","1,214","1,700"
Share,1.6,2.0,1.7,1.9,2.7,1.9,1.8,1.2,1.1,1.1
SE,51.16,70.72,76.91,171.00,208.18,101.59,127.21,149.61,224.20,359.59
CV(%),5.29,14.33,13.84,21.18,16.45,10.01,10.46,14.07,18.47,21.15
"Vehicle rental, leases, licenses, and other charges",,,,,,,,,,
Mean,700,218,334,507,524,635,771,"1,062","1,630","1,819"
Share,1.2,.9,1.0,1.2,1.1,1.2,1.2,1.2,1.4,1.1
SE,19.71,24.78,35.13,52.00,41.10,48.39,43.36,76.80,150.97,112.94
CV(%),2.81,11.36,10.51,10.25,7.84,7.62,5.62,7.23,9.26,6.21
Public and other transportation,,,,,,,,,,
Mean,712,252,284,367,428,542,726,"1,005","1,680","2,923"
Share,1.2,1.0,.9,.9,.9,1.0,1.1,1.2,1.5,1.8
SE,21.82,30.42,27.02,46.47,50.78,36.92,34.09,56.30,116.02,168.58
CV(%),3.06,12.10,9.51,12.67,11.87,6.81,4.70,5.60,6.91,5.77
,,,,,,,,,,
Healthcare,,,,,,,,,,
Mean,"4,928","2,193","3,360","4,249","4,558","4,733","5,639","6,850","7,431","9,689"
Share,8.2,8.9,10.1,10.2,9.9,8.7,8.5,7.9,6.4,6.0
SE,72.31,92.32,83.24,126.98,186.55,141.63,136.53,148.92,223.27,379.34
CV(%),1.47,4.21,2.48,2.99,4.09,2.99,2.42,2.17,3.00,3.91
Health insurance,,,,,,,,,,
Mean,"3,414","1,550","2,378","3,059","3,169","3,314","3,881","4,758","5,088","6,308"
Share,5.7,6.3,7.1,7.4,6.9,6.1,5.9,5.5,4.4,3.9
SE,42.57,61.97,62.13,88.08,102.51,87.08,94.13,99.11,174.33,228.19
CV(%),1.25,4.00,2.61,2.88,3.23,2.63,2.43,2.08,3.43,3.62
Medical services,,,,,,,,,,
Mean,872,295,464,562,774,774,"1,088","1,342","1,378","2,285"
Share,1.5,1.2,1.4,1.4,1.7,1.4,1.6,1.6,1.2,1.4
SE,32.45,26.29,33.02,57.52,116.08,64.78,64.97,87.35,102.39,223.36
CV(%),3.72,8.93,7.11,10.24,14.99,8.37,5.97,6.51,7.43,9.78
Drugs,,,,,,,,,,
Mean,486,257,405,508,463,521,493,556,695,757
Share,.8,1.0,1.2,1.2,1.0,1.0,.7,.6,.6,.5
SE,12.47,17.33,23.43,31.60,31.13,44.68,22.82,29.34,60.56,55.63
CV(%),2.57,6.74,5.79,6.22,6.72,8.58,4.63,5.28,8.71,7.34
Medical supplies,,,,,,,,,,
Mean,156,91,113,120,152,125,176,194,269,339
Share,.3,.4,.3,.3,.3,.2,.3,.2,.2,.2
SE,7.69,32.71,11.67,10.71,18.13,17.38,12.77,14.26,40.99,29.15
CV(%),4.92,35.83,10.33,8.94,11.92,13.88,7.25,7.35,15.26,8.59
,,,,,,,,,,
Entertainment,,,,,,,,,,
Mean,"3,203","1,264","1,559","1,944","2,148","2,750","3,466","4,692","7,158","9,513"
Share,5.3,5.1,4.7,4.7,4.6,5.1,5.2,5.4,6.2,5.9
SE,108.24,127.40,91.89,176.19,132.62,208.22,144.25,347.42,945.86,662.55
CV(%),3.38,10.08,5.89,9.06,6.17,7.57,4.16,7.40,13.21,6.96
Fees and admissions,,,,,,,,,,
Mean,750,196,226,327,415,595,768,"1,079","1,898","3,349"
Share,1.2,.8,.7,.8,.9,1.1,1.2,1.3,1.6,2.1
SE,32.66,17.16,30.91,30.11,44.70,42.83,30.07,53.72,147.21,236.66
CV(%),4.35,8.77,13.67,9.22,10.77,7.20,3.91,4.98,7.75,7.07
Audio and visual equipment and services,,,,,,,,,,
Mean,985,525,653,838,925,952,"1,052","1,387","1,505","1,897"
Share,1.6,2.1,2.0,2.0,2.0,1.8,1.6,1.6,1.3,1.2
SE,20.54,28.33,20.52,38.76,44.33,40.44,32.51,52.70,70.44,66.49
CV(%),2.08,5.39,3.14,4.63,4.79,4.25,3.09,3.80,4.68,3.51
"Pets, toys, hobbies, and playground equipment",,,,,,,,,,
Mean,869,331,485,482,574,757,"1,034","1,087","2,328","2,232"
Share,1.4,1.3,1.5,1.2,1.2,1.4,1.6,1.3,2.0,1.4
SE,66.18,56.26,61.76,75.76,77.50,138.48,105.11,80.47,895.92,252.25
CV(%),7.62,16.97,12.72,15.70,13.50,18.30,10.16,7.40,38.48,11.30
Pets,,,,,,,,,,
Mean,710,273,412,375,458,598,822,845,"2,110","1,855"
Share,1.2,1.1,1.2,.9,1.0,1.1,1.2,1.0,1.8,1.2
SE,64.97,55.47,59.49,73.45,73.57,134.02,98.29,82.97,899.55,242.58
CV(%),9.15,20.33,14.45,19.57,16.05,22.42,11.96,9.82,42.63,13.08
"Toys, hobbies, and playground equipment",,,,,,,,,,
Mean,159,59,74,107,116,159,213,242,218,377
Share,.3,.2,.2,.3,.2,.3,.3,.3,.2,.2
SE,10.28,15.81,10.39,14.20,22.63,32.72,32.16,28.48,26.75,46.49
CV(%),6.47,26.97,14.06,13.26,19.58,20.60,15.12,11.79,12.25,12.35
"Other entertainment supplies, equipment, and services",,,,,,,,,,
Mean,599,212,194,298,234,446,612,"1,138","1,427","2,036"
Share,1.0,.9,.6,.7,.5,.8,.9,1.3,1.2,1.3
SE,62.75,106.96,57.75,126.01,51.25,112.62,106.34,335.53,324.89,488.12
CV(%),10.48,50.49,29.73,42.33,21.89,25.24,17.37,29.48,22.77,23.97
,,,,,,,,,,
Personal care products and services,,,,,,,,,,
Mean,762,336,482,501,661,659,836,"1,110","1,361","1,832"
Share,1.3,1.4,1.4,1.2,1.4,1.2,1.3,1.3,1.2,1.1
SE,15.24,22.56,31.07,25.03,54.88,23.78,31.73,54.99,85.74,76.58
CV(%),2.00,6.71,6.44,5.00,8.30,3.61,3.80,4.95,6.30,4.18
,,,,,,,,,,
Reading,,,,,,,,,,
Mean,110,46,57,67,79,114,128,146,185,319
Share,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2
SE,5.45,11.41,6.92,8.60,14.09,12.88,19.45,17.13,24.29,38.42
CV(%),4.95,24.93,12.12,12.93,17.82,11.34,15.15,11.76,13.16,12.06
,,,,,,,,,,
Education,,,,,,,,,,
Mean,"1,491",900,502,383,486,723,"1,115","1,745","4,458","8,810"
Share,2.5,3.7,1.5,.9,1.1,1.3,1.7,2.0,3.9,5.5
SE,92.85,149.81,87.71,61.87,98.02,129.10,130.07,148.24,778.82,931.24
CV(%),6.23,16.65,17.46,16.15,20.15,17.85,11.66,8.49,17.47,10.57
,,,,,,,,,,
Tobacco products and smoking supplies,,,,,,,,,,
Mean,332,269,308,394,368,372,382,316,280,247
Share,.6,1.1,.9,.9,.8,.7,.6,.4,.2,.2
SE,10.61,19.71,20.39,32.04,24.92,25.77,21.65,22.87,31.74,33.54
CV(%),3.19,7.32,6.63,8.14,6.76,6.92,5.67,7.23,11.34,13.60
,,,,,,,,,,
Miscellaneous,,,,,,,,,,
Mean,"1,010",364,558,825,887,"1,015",903,"1,341","2,057","2,913"
Share,1.7,1.5,1.7,2.0,1.9,1.9,1.4,1.6,1.8,1.8
SE,67.75,58.02,70.05,120.94,165.64,114.96,51.45,231.17,399.15,632.82
CV(%),6.71,15.94,12.56,14.66,18.68,11.33,5.70,17.23,19.40,21.72
,,,,,,,,,,
Cash contributions,,,,,,,,,,
Mean,"1,873",530,"1,089","1,185","1,560","1,428","1,859","2,506","3,078","7,649"
Share,3.1,2.2,3.3,2.9,3.4,2.6,2.8,2.9,2.7,4.7
SE,95.94,77.38,111.20,91.15,135.70,150.15,130.80,172.13,249.03,946.16
CV(%),5.12,14.61,10.21,7.69,8.70,10.52,7.03,6.87,8.09,12.37
,,,,,,,,,,
Personal insurance and pensions,,,,,,,,,,
Mean,"6,771",540,"1,622","2,726","3,444","5,087","8,047","12,157","18,432","26,629"
Share,11.3,2.2,4.9,6.6,7.4,9.4,12.2,14.1,16.0,16.5
SE,144.47,114.66,279.02,338.80,128.44,158.21,142.05,216.48,581.24,759.25
CV(%),2.13,21.22,17.20,12.43,3.73,3.11,1.77,1.78,3.15,2.85
Life and other personal insurance,,,,,,,,,,
Mean,418,149,217,267,328,307,461,655,837,"1,274"
Share,.7,.6,.7,.6,.7,.6,.7,.8,.7,.8
SE,11.72,16.20,13.39,17.91,33.50,20.41,18.89,35.12,49.35,97.55
CV(%),2.81,10.88,6.18,6.71,10.21,6.65,4.10,5.36,5.89,7.66
Pensions and Social Security,,,,,,,,,,
Mean,"6,353",391,"1,405","2,459","3,116","4,780","7,586","11,502","17,595","25,355"
Share,10.6,1.6,4.2,5.9,6.7,8.8,11.5,13.3,15.2,15.7
SE,139.67,109.54,278.63,339.29,128.71,160.60,143.67,215.62,581.24,744.37
CV(%),2.20,27.99,19.83,13.80,4.13,3.36,1.89,1.87,3.30,2.94
,,,,,,,,,,
Sources of income and personal taxes:,,,,,,,,,,
,,,,,,,,,,
Money income before taxes,,,,,,,,,,
Mean,"$73,573","$7,860","$22,315","$34,685","$44,771","$59,382","$83,829","$120,288","$170,234","$306,051"
SE,"1,098.20",182.41,214.62,233.92,380.21,503.60,400.23,628.72,"1,539.02","7,931.16"
CV(%),1.49,2.32,.96,.67,.85,.85,.48,.52,.90,2.59
Wages and salaries,,,,,,,,,,
Mean,"57,590","2,156","9,381","20,724","30,217","45,910","69,738","103,526","148,984","246,503"
Share,78.3,27.4,42.0,59.7,67.5,77.3,83.2,86.1,87.5,80.5
SE,980.51,95.75,288.36,563.74,629.70,646.38,707.31,970.23,"1,668.00","6,721.11"
CV(%),1.70,4.44,3.07,2.72,2.08,1.41,1.01,.94,1.12,2.73
Self-employment income,,,,,,,,,,
Mean,"4,506",56,520,"1,032","1,437","2,475","4,088","6,294","11,006","33,755"
Share,6.1,.7,2.3,3.0,3.2,4.2,4.9,5.2,6.5,11.0
SE,245.12,76.02,79.05,154.24,258.24,290.54,418.07,639.28,"1,051.23","3,594.60"
CV(%),5.44,135.64,15.19,14.94,17.97,11.74,10.23,10.16,9.55,10.65
"Social Security, private and government retirement",,,,,,,,,,
Mean,"8,300","3,747","10,601","11,318","11,033","9,070","7,515","6,976","5,555","8,275"
Share,11.3,47.7,47.5,32.6,24.6,15.3,9.0,5.8,3.3,2.7
SE,179.20,142.72,208.54,494.45,527.09,512.44,426.72,431.31,365.62,"1,209.19"
CV(%),2.16,3.81,1.97,4.37,4.78,5.65,5.68,6.18,6.58,14.61
"Interest, dividends, rental income, other property income",,,,,,,,,,
Mean,"1,910",77,246,499,951,924,"1,320","2,530","4,163","15,682"
Share,2.6,1.0,1.1,1.4,2.1,1.6,1.6,2.1,2.4,5.1
SE,258.29,26.03,51.13,73.68,141.97,129.89,164.92,288.35,622.41,"4,406.35"
CV(%),13.53,33.66,20.82,14.76,14.92,14.06,12.49,11.40,14.95,28.10
"Public assistance, Supplemental Security Income, Supplementary Nutrition Assistance Program (SNAP)",,,,,,,,,,
Mean,460,"1,120",812,503,467,276,256,67,23,37
Share,.6,14.3,3.6,1.4,1.0,.5,.3,.1,a/,a/
SE,23.13,69.37,62.62,67.99,57.94,31.07,46.04,13.27,11.92,16.55
CV(%),5.03,6.19,7.71,13.53,12.42,11.25,17.96,19.69,52.74,45.18
"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support",,,,,,,,,,
Mean,457,182,346,427,348,384,750,642,370,715
Share,.6,2.3,1.6,1.2,.8,.6,.9,.5,.2,.2
SE,38.03,37.73,50.73,63.27,76.23,66.16,116.95,109.62,102.88,290.56
CV(%),8.32,20.78,14.66,14.82,21.90,17.23,15.60,17.07,27.83,40.64
Other income,,,,,,,,,,
Mean,351,522,409,182,317,344,161,253,133,"1,084"
Share,.5,6.6,1.8,.5,.7,.6,.2,.2,.1,.4
SE,37.46,96.66,58.96,62.56,91.83,84.35,37.07,47.22,39.46,495.59
CV(%),10.68,18.51,14.40,34.35,28.94,24.53,22.96,18.70,29.73,45.72
,,,,,,,,,,
Personal taxes (contains some imputed values),,,,,,,,,,
Mean,"9,967",-369,-878,-70,"1,598","4,357","8,754","16,559","29,887","80,766"
Share,13.5,-4.7,-3.9,-.2,3.6,7.3,10.4,13.8,17.6,26.4
SE,483.84,34.92,99.70,106.44,127.16,167.64,136.26,162.88,397.60,"6,827.57"
CV(%),4.85,-9.47,-11.35,-151.54,7.96,3.85,1.56,.98,1.33,8.45
Federal income taxes,,,,,,,,,,
Mean,"7,819",-301,-893,-374,974,"3,173","6,560","12,789","23,614","66,717"
Share,10.6,-3.8,-4.0,-1.1,2.2,5.3,7.8,10.6,13.9,21.8
SE,370.92,26.15,81.17,91.42,105.65,160.53,85.20,123.64,273.84,"5,596.82"
CV(%),4.74,-8.69,-9.09,-24.47,10.85,5.06,1.30,.97,1.16,8.39
State and local income taxes,,,,,,,,,,
Mean,"2,098",-78,-16,274,592,"1,124","2,151","3,711","6,150","13,872"
Share,2.9,-1.0,-.1,.8,1.3,1.9,2.6,3.1,3.6,4.5
SE,126.95,16.18,25.37,32.27,49.34,67.28,105.50,135.57,212.67,"1,325.46"
CV(%),6.05,-20.76,-157.12,11.77,8.34,5.99,4.90,3.65,3.46,9.56
Other taxes,,,,,,,,,,
Mean,51,10,31,29,33,60,44,60,123,178
Share,.1,.1,.1,.1,.1,.1,.1,a/,.1,.1
SE,7.40,3.21,6.41,9.46,5.71,17.73,6.58,16.08,28.26,53.92
CV(%),14.61,31.10,20.78,32.45,17.38,29.58,15.08,27.01,22.89,30.27
,,,,,,,,,,
Income after taxes,,,,,,,,,,
Mean,"63,606","8,229","23,194","34,755","43,173","55,025","75,075","103,729","140,346","225,284"
Share,86.5,104.7,103.9,100.2,96.4,92.7,89.6,86.2,82.4,73.6
SE,767.93,190.47,238.13,249.21,403.64,540.51,422.78,619.79,"1,546.25","4,471.37"
CV(%),1.21,2.31,1.03,.72,.93,.98,.56,.60,1.10,1.98
,,,,,,,,,,
Addenda:,,,,,,,,,,
,,,,,,,,,,
Net change in total assets and liabilities,,,,,,,,,,
Mean,"$14,049","$1,060","$3,636","$5,020","$5,816","$5,516","$14,382","$29,818","$32,680","$70,669"
SE,"1,593.57","1,746.87","1,729.05","3,060.70","3,466.55","3,151.93","3,070.30","5,592.93","11,779.80","20,625.07"
CV(%),11.34,164.83,47.55,60.97,59.60,57.14,21.35,18.76,36.05,29.19
Net change in total assets,,,,,,,,,,
Mean,"23,805","3,231","5,988","9,668","11,156","15,922","23,677","43,221","59,349","112,065"
SE,"1,586.57","2,040.65","1,683.62","2,501.43","3,404.72","2,499.24","2,842.31","5,628.87","11,261.28","20,584.52"
CV(%),6.66,63.17,28.12,25.87,30.52,15.70,12.00,13.02,18.97,18.37
Net change in total liabilities,,,,,,,,,,
Mean,"9,756","2,171","2,352","4,648","5,340","10,405","9,294","13,402","26,669","41,396"
SE,960.64,"1,113.68",676.56,"1,736.93","1,874.76","2,082.10","1,251.52","2,414.17","5,551.78","10,283.32"
CV(%),9.85,51.30,28.77,37.37,35.11,20.01,13.47,18.01,20.82,24.84
,,,,,,,,,,
Other financial information:,,,,,,,,,,
Other money receipts,,,,,,,,,,
Mean,"1,156",286,536,610,668,807,519,583,"1,191","10,655"
SE,463.53,94.91,228.12,266.24,317.11,419.17,171.31,176.88,475.39,"8,118.56"
CV(%),40.10,33.18,42.53,43.68,47.50,51.92,33.02,30.37,39.90,76.19
Mortgage principal paid on owned property,,,,,,,,,,
Mean,"-1,839",-373,-580,-830,"-1,004","-1,381","-1,995","-3,228","-4,561","-7,122"
SE,42.83,39.77,44.26,69.95,54.91,68.97,91.67,196.79,268.09,419.20
CV(%),-2.33,-10.66,-7.63,-8.43,-5.47,-5.00,-4.59,-6.10,-5.88,-5.89
Estimated market value of owned home,,,,,,,,,,
Mean,"186,064","71,398","100,799","121,595","135,811","146,532","193,211","266,787","417,957","577,251"
SE,"3,585.18","4,894.54","5,069.00","4,914.37","5,387.83","4,242.58","7,440.86","6,752.60","24,965.06","31,003.92"
CV(%),1.93,6.86,5.03,4.04,3.97,2.90,3.85,2.53,5.97,5.37
Estimated monthly rental value of owned home,,,,,,,,,,
Mean,"1,017",428,623,720,821,867,"1,116","1,485","2,013","2,502"
SE,11.48,21.43,21.54,23.22,22.46,19.19,34.45,27.70,61.68,58.73
CV(%),1.13,5.01,3.46,3.22,2.74,2.21,3.09,1.86,3.06,2.35
,,,,,,,,,,
"Gifts of goods and services, total",,,,,,,,,,
Mean,"1,229",501,504,598,663,862,"1,176","1,770","2,699","5,383"
SE,49.08,91.02,71.81,70.10,100.19,87.51,107.50,149.11,516.74,478.68
CV(%),3.99,18.16,14.26,11.73,15.12,10.15,9.14,8.42,19.14,8.89
Food,,,,,,,,,,
Mean,88,20,26,32,67,61,74,192,138,348
SE,8.39,5.23,5.94,6.73,17.76,10.06,16.01,39.79,23.89,108.15
CV(%),9.57,25.73,22.99,20.78,26.58,16.56,21.63,20.75,17.33,31.08
Alcoholic beverages,,,,,,,,,,
Mean,14,1,4,4,14,12,12,23,59,39
SE,1.64,.54,2.88,2.46,8.82,2.99,4.75,6.61,23.63,20.36
CV(%),11.54,55.05,67.00,57.91,61.86,25.92,40.10,28.66,40.34,52.19
Housing,,,,,,,,,,
Mean,233,116,127,124,149,217,227,309,287,960
SE,13.92,13.42,17.48,17.31,26.15,42.85,27.71,32.71,42.28,179.55
CV(%),5.97,11.55,13.76,14.02,17.56,19.76,12.22,10.58,14.74,18.70
Housekeeping supplies,,,,,,,,,,
Mean,33,7,22,28,20,52,29,51,34,72
SE,4.74,2.15,7.33,6.70,5.53,24.59,5.08,9.70,8.65,20.32
CV(%),14.20,29.13,33.86,23.56,27.25,47.09,17.26,19.15,25.73,28.17
Household textiles,,,,,,,,,,
Mean,7,2,3,6,6,6,15,9,3,9
SE,1.26,.95,1.42,2.57,2.92,3.04,5.94,3.34,6.54,5.32
CV(%),19.16,61.65,48.67,43.02,49.31,53.05,40.93,38.55,195.28,56.30
Appliances and miscellaneous housewares,,,,,,,,,,
Mean,20,6,12,7,8,23,24,32,34,58
SE,2.65,2.54,3.89,2.94,3.22,6.69,5.86,7.55,18.81,20.91
CV(%),13.13,39.50,33.43,39.78,38.40,29.28,24.09,23.83,54.63,35.92
Major appliances,,,,,,,,,,
Mean,7,5,6,a/,5,10,8,10,10,18
SE,1.14,2.38,2.46,.24,2.13,5.03,2.61,4.33,6.01,7.33
CV(%),15.55,50.66,44.17,77.10,46.25,47.96,33.56,43.79,57.73,40.30
Small appliances and miscellaneous housewares,,,,,,,,,,
Mean,13,2,6,7,4,12,17,22,24,40
SE,2.20,.84,2.75,2.94,2.43,3.85,4.47,6.49,17.87,19.42
CV(%),17.08,48.41,45.41,41.54,64.11,31.13,27.06,29.75,74.38,48.52
Miscellaneous household equipment,,,,,,,,,,
Mean,53,19,40,23,36,61,59,86,39,145
SE,5.26,6.08,12.29,5.67,10.56,15.19,6.56,21.11,11.14,42.78
CV(%),9.87,31.55,30.36,25.03,29.12,24.93,11.08,24.41,28.59,29.48
Other housing,,,,,,,,,,
Mean,120,82,50,59,78,75,99,132,176,675
SE,11.53,10.16,11.82,13.05,19.44,19.93,21.94,25.45,38.30,172.81
CV(%),9.63,12.47,23.46,22.10,24.90,26.56,22.08,19.33,21.71,25.60
Apparel and services,,,,,,,,,,
Mean,203,101,121,151,174,207,222,292,339,396
SE,11.87,22.13,22.56,28.87,35.36,39.80,31.61,49.27,66.89,88.39
CV(%),5.85,21.83,18.62,19.12,20.30,19.22,14.21,16.89,19.71,22.31
"Males, 2 and over",,,,,,,,,,
Mean,56,34,35,40,49,56,51,87,78,115
SE,5.07,9.79,7.18,12.44,13.42,13.29,11.60,23.10,24.63,40.68
CV(%),9.14,29.04,20.68,31.03,27.40,23.78,22.95,26.51,31.47,35.44
"Females, 2 and over",,,,,,,,,,
Mean,73,26,36,51,56,78,98,106,142,131
SE,5.82,7.43,9.21,10.66,13.43,20.97,19.12,28.04,37.89,31.71
CV(%),7.94,28.76,25.50,21.04,24.09,26.73,19.43,26.43,26.66,24.21
Children under 2,,,,,,,,,,
Mean,32,13,24,28,37,32,25,48,32,64
SE,3.42,5.80,7.23,9.00,12.28,12.35,4.88,14.66,15.07,18.31
CV(%),10.83,43.10,29.79,32.61,32.88,38.15,19.77,30.82,47.12,28.44
Other apparel products and services,,,,,,,,,,
Mean,43,28,26,33,32,40,49,51,87,86
SE,4.96,9.83,8.96,8.37,10.25,15.43,10.67,12.64,26.91,34.24
CV(%),11.63,34.64,34.45,25.66,31.90,38.24,21.87,24.87,30.93,39.76
Jewelry and watches,,,,,,,,,,
Mean,9,3,9,3,4,3,14,10,6,37
SE,1.74,1.92,4.79,1.18,1.64,1.55,4.13,5.32,2.44,19.18
CV(%),20.44,61.58,55.58,46.93,45.31,47.02,30.26,54.04,40.31,52.08
All other apparel products and services,,,,,,,,,,
Mean,34,25,17,30,29,37,35,41,81,49
SE,4.19,9.47,6.02,8.45,10.23,15.21,10.04,11.45,26.74,18.97
CV(%),12.26,37.49,34.61,28.09,35.89,41.07,28.59,27.96,33.03,38.48
Transportation,,,,,,,,,,
Mean,141,66,81,109,44,59,168,255,292,426
SE,19.82,38.19,33.25,45.85,8.97,17.97,48.23,63.89,175.07,154.81
CV(%),14.02,58.25,41.04,41.88,20.29,30.33,28.71,25.09,59.97,36.32
Healthcare,,,,,,,,,,
Mean,21,9,20,7,5,12,23,31,38,72
SE,3.29,4.29,15.08,2.31,2.24,2.05,5.95,8.83,12.02,20.13
CV(%),15.85,45.87,76.83,31.04,43.57,17.54,25.31,28.65,31.63,27.98
Entertainment,,,,,,,,,,
Mean,98,30,38,70,65,101,122,142,148,310
SE,8.18,6.90,7.15,19.36,16.27,26.39,26.89,19.07,26.13,56.83
CV(%),8.32,23.38,18.79,27.63,25.13,26.06,22.10,13.40,17.61,18.32
"Toys, games, arts and crafts, and tricycles",,,,,,,,,,
Mean,39,10,20,33,19,58,40,46,46,120
SE,5.11,5.19,5.39,10.53,6.90,24.90,12.27,13.08,13.26,32.54
CV(%),13.01,51.29,26.34,32.34,36.83,42.73,30.67,28.14,28.95,27.03
Other entertainment,,,,,,,,,,
Mean,59,19,18,38,46,43,82,96,103,190
SE,6.06,4.43,3.34,14.16,14.28,8.78,26.39,15.01,23.80,43.84
CV(%),10.24,22.84,18.98,37.76,31.03,20.44,32.32,15.67,23.21,23.09
Personal care products and services,,,,,,,,,,
Mean,12,7,5,7,11,14,13,18,12,30
SE,2.15,4.40,3.15,3.31,5.81,5.51,3.83,9.94,4.65,10.89
CV(%),17.97,59.97,62.94,49.04,51.43,38.51,29.30,55.97,39.81,36.64
Reading,,,,,,,,,,
Mean,3,a/,1,4,2,4,3,4,2,7
SE,.44,.28,.39,1.27,.94,1.59,1.24,1.54,1.03,3.06
CV(%),16.48,57.58,44.69,35.91,41.60,43.07,48.10,35.35,52.81,45.62
Education,,,,,,,,,,
Mean,314,113,65,41,92,72,197,351,"1,204","2,320"
SE,34.37,78.39,29.82,19.78,53.30,33.48,67.40,82.12,399.21,405.46
CV(%),10.95,69.44,45.67,47.89,57.96,46.21,34.23,23.36,33.16,17.48
All other gifts,,,,,,,,,,
Mean,102,37,15,48,39,103,115,153,181,474
SE,12.31,18.29,3.47,14.21,7.35,19.16,27.32,30.58,52.55,162.92
CV(%),12.12,49.11,22.52,29.63,18.99,18.59,23.67,20.00,29.03,34.34
,,,,,,,,,,
a Value is too small to display.,,,,,,,,,,
b No data reported.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: Consumer Expenditure Survey, U.S. Bureau of Labor Statistics, September, 2018",,,,,,,,,,
